tailpipe_co2_in_grams_mile_ft1,engine_displacement,engine_cylinders,turbocharger,fuel_type,class,transmission,drive
370.2916667,1.6,4.0,No,Regular,Subcompact Cars,Automatic 3-Speed,Front-Wheel Drive
423.1904762,1.8,4.0,No,Regular,Subcompact Cars,Automatic 4-Speed,Front-Wheel Drive
341.8076923,1.6,4.0,No,Regular,Subcompact Cars,Manual 5-Speed,Front-Wheel Drive
403.9545455,1.8,4.0,No,Regular,Subcompact Cars,Manual 5-Speed,Front-Wheel Drive
370.2916667,1.6,4.0,No,Regular,Compact Cars,Automatic 3-Speed,Front-Wheel Drive
317.3928571,1.6,4.0,No,Regular,Compact Cars,Manual 4-Speed,Front-Wheel Drive
317.3928571,1.6,4.0,No,Regular,Compact Cars,Manual 5-Speed,Front-Wheel Drive
370.2916667,1.6,4.0,No,Regular,Subcompact Cars,Automatic 3-Speed,Front-Wheel Drive
317.3928571,1.6,4.0,No,Regular,Subcompact Cars,Manual 5-Speed,Front-Wheel Drive
370.2916667,1.6,4.0,No,Regular,Small Station Wagons,Automatic 3-Speed,Front-Wheel Drive
329.1481481,1.6,4.0,No,Regular,Small Station Wagons,Manual 5-Speed,Front-Wheel Drive
370.2916667,1.6,4.0,No,Regular,Small Station Wagons,Manual 5-Speed,4-Wheel or All-Wheel Drive
423.1904762,2.0,4.0,No,Regular,Compact Cars,Automatic 4-Speed,Front-Wheel Drive
