tailpipe_co2_in_grams_mile_ft1,engine_displacement,engine_cylinders,turbocharger,fuel_type,class,transmission,drive
493.7222222,2.8,6.0,No,Regular,Standard Pickup Trucks,Manual 4-Speed,4-Wheel or All-Wheel Drive
444.35,2.5,4.0,No,Regular,Standard Pickup Trucks,Manual 5-Speed,4-Wheel or All-Wheel Drive
493.7222222,2.8,6.0,No,Regular,Standard Pickup Trucks,Manual 5-Speed,4-Wheel or All-Wheel Drive
683.6153846,5.7,8.0,No,Regular,Special Purpose Vehicles,Automatic 4-Speed,4-Wheel or All-Wheel Drive
598.8235294,6.2,8.0,No,Diesel,Special Purpose Vehicles,Automatic 4-Speed,4-Wheel or All-Wheel Drive
740.5833333,5.7,8.0,No,Regular,Special Purpose Vehicles,Manual 4-Speed,4-Wheel or All-Wheel Drive
683.6153846,5.7,8.0,No,Regular,Special Purpose Vehicles,Automatic 4-Speed,4-Wheel or All-Wheel Drive
636.25,6.2,8.0,No,Diesel,Special Purpose Vehicles,Automatic 4-Speed,4-Wheel or All-Wheel Drive
807.9090909,5.7,8.0,No,Regular,Special Purpose Vehicles,Manual 4-Speed,4-Wheel or All-Wheel Drive
522.7647059,2.5,4.0,No,Regular,Special Purpose Vehicle 2WD,Automatic 3-Speed,Rear-Wheel Drive
370.2916667,2.0,4.0,No,Regular,Compact Cars,Automatic 4-Speed,Front-Wheel Drive
403.9545455,2.0,4.0,No,Regular,Compact Cars,Automatic 4-Speed,Front-Wheel Drive
341.8076923,2.0,4.0,No,Regular,Compact Cars,Manual 5-Speed,Front-Wheel Drive
370.2916667,2.0,4.0,No,Regular,Compact Cars,Manual 5-Speed,Front-Wheel Drive
317.3928571,1.5,4.0,No,Regular,Subcompact Cars,Automatic 4-Speed,Front-Wheel Drive
329.1481481,1.5,4.0,No,Regular,Subcompact Cars,Automatic 4-Speed,Front-Wheel Drive
329.1481481,1.5,4.0,No,Regular,Subcompact Cars,Automatic 4-Speed,Front-Wheel Drive
277.71875,1.5,4.0,No,Regular,Subcompact Cars,Manual 4-Speed,Front-Wheel Drive
277.71875,1.5,4.0,No,Regular,Subcompact Cars,Manual 4-Speed,Front-Wheel Drive
286.6774194,1.5,4.0,No,Regular,Subcompact Cars,Manual 5-Speed,Front-Wheel Drive
296.2333333,1.5,4.0,No,Regular,Subcompact Cars,Manual 5-Speed,Front-Wheel Drive
306.4482759,1.5,4.0,No,Regular,Two Seaters,Automatic 4-Speed,Front-Wheel Drive
277.71875,1.5,4.0,No,Regular,Two Seaters,Manual 5-Speed,Front-Wheel Drive
317.3928571,1.6,4.0,No,Regular,Two Seaters,Manual 5-Speed,Front-Wheel Drive
201.9772727,1.5,4.0,No,Regular,Two Seaters,Manual 5-Speed,Front-Wheel Drive
216.7560976,1.5,4.0,No,Regular,Two Seaters,Manual 5-Speed,Front-Wheel Drive
329.1481481,1.5,4.0,No,Regular,Small Station Wagons,Automatic 4-Speed,Front-Wheel Drive
341.8076923,1.5,4.0,No,Regular,Small Station Wagons,Automatic 4-Speed,Front-Wheel Drive
306.4482759,1.5,4.0,No,Regular,Small Station Wagons,Manual 5-Speed,Front-Wheel Drive
386.3913043,1.6,4.0,No,Regular,Small Station Wagons,Manual 5-Speed,4-Wheel or All-Wheel Drive
444.35,2.0,4.0,No,Regular,Subcompact Cars,Automatic 4-Speed,Front-Wheel Drive
423.1904762,2.0,4.0,No,Regular,Subcompact Cars,Automatic 4-Speed,Front-Wheel Drive
403.9545455,2.0,4.0,No,Regular,Subcompact Cars,Manual 5-Speed,Front-Wheel Drive
403.9545455,2.0,4.0,No,Regular,Subcompact Cars,Manual 5-Speed,Front-Wheel Drive
341.8076923,1.5,4.0,No,Regular,Subcompact Cars,Automatic 3-Speed,Front-Wheel Drive
341.8076923,1.5,4.0,No,Regular,Subcompact Cars,Manual 4-Speed,Front-Wheel Drive
317.3928571,1.5,4.0,No,Regular,Subcompact Cars,Manual 5-Speed,Front-Wheel Drive
317.3928571,1.5,4.0,No,Regular,Subcompact Cars,Automatic 3-Speed,Front-Wheel Drive
269.3030303,1.5,4.0,No,Regular,Subcompact Cars,Manual 5-Speed,Front-Wheel Drive
286.6774194,1.5,4.0,No,Regular,Subcompact Cars,Manual 5-Speed,Front-Wheel Drive
329.1481481,1.5,4.0,True,Regular,Subcompact Cars,Manual 5-Speed,Front-Wheel Drive
444.35,2.0,4.0,True,Regular,Subcompact Cars,Automatic 4-Speed,Rear-Wheel Drive
444.35,2.3,4.0,No,Regular,Subcompact Cars,Automatic 4-Speed,Rear-Wheel Drive
423.1904762,2.0,4.0,True,Regular,Subcompact Cars,Manual 5-Speed,Rear-Wheel Drive
444.35,2.3,4.0,No,Regular,Subcompact Cars,Manual 5-Speed,Rear-Wheel Drive
467.7368421,2.6,4.0,No,Regular,Small Pickup Trucks,Automatic 4-Speed,Rear-Wheel Drive
444.35,2.3,4.0,No,Regular,Small Pickup Trucks,Manual 5-Speed,Rear-Wheel Drive
467.7368421,2.6,4.0,No,Regular,Small Pickup Trucks,Manual 5-Speed,Rear-Wheel Drive
522.7647059,2.6,4.0,No,Regular,Standard Pickup Trucks,Manual 5-Speed,Rear-Wheel Drive
555.4375,2.6,4.0,No,Regular,Standard Pickup Trucks,Automatic 4-Speed,4-Wheel or All-Wheel Drive
555.4375,2.6,4.0,No,Regular,Standard Pickup Trucks,Manual 5-Speed,4-Wheel or All-Wheel Drive
592.4666667,2.6,4.0,No,Regular,Special Purpose Vehicles,Automatic 4-Speed,4-Wheel or All-Wheel Drive
592.4666667,2.6,4.0,No,Regular,Special Purpose Vehicles,Manual 5-Speed,4-Wheel or All-Wheel Drive
683.6153846,5.3,12.0,No,Regular,Subcompact Cars,Automatic 3-Speed,Rear-Wheel Drive
683.6153846,5.3,12.0,No,Regular,Two Seaters,Automatic 3-Speed,Rear-Wheel Drive
493.7222222,3.6,6.0,No,Regular,Compact Cars,Automatic 4-Speed,Rear-Wheel Drive
467.7368421,3.6,6.0,No,Premium,Compact Cars,Automatic 4-Speed,Rear-Wheel Drive
592.4666667,3.0,6.0,No,Regular,Large Cars,Automatic 4-Speed,Rear-Wheel Drive
493.7222222,2.5,4.0,No,Regular,Special Purpose Vehicle 2WD,Automatic 4-Speed,Rear-Wheel Drive
555.4375,4.0,6.0,No,Regular,Special Purpose Vehicle 2WD,Automatic 4-Speed,Rear-Wheel Drive
423.1904762,2.5,4.0,No,Regular,Special Purpose Vehicle 2WD,Manual 4-Speed,Rear-Wheel Drive
444.35,2.5,4.0,No,Regular,Special Purpose Vehicle 2WD,Manual 5-Speed,Rear-Wheel Drive
493.7222222,4.0,6.0,No,Regular,Special Purpose Vehicle 2WD,Manual 5-Speed,Rear-Wheel Drive
493.7222222,2.5,4.0,No,Regular,Special Purpose Vehicles,Automatic 4-Speed,4-Wheel or All-Wheel Drive
555.4375,4.0,6.0,No,Regular,Special Purpose Vehicles,Automatic 4-Speed,4-Wheel or All-Wheel Drive
423.1904762,2.5,4.0,No,Regular,Special Purpose Vehicles,Manual 4-Speed,4-Wheel or All-Wheel Drive
467.7368421,2.5,4.0,No,Regular,Special Purpose Vehicles,Manual 5-Speed,4-Wheel or All-Wheel Drive
493.7222222,4.0,6.0,No,Regular,Special Purpose Vehicles,Manual 5-Speed,4-Wheel or All-Wheel Drive
493.7222222,2.5,4.0,No,Regular,Standard Pickup Trucks,Automatic 4-Speed,Rear-Wheel Drive
555.4375,4.0,6.0,No,Regular,Standard Pickup Trucks,Automatic 4-Speed,Rear-Wheel Drive
423.1904762,2.5,4.0,No,Regular,Standard Pickup Trucks,Manual 4-Speed,Rear-Wheel Drive
444.35,2.5,4.0,No,Regular,Standard Pickup Trucks,Manual 5-Speed,Rear-Wheel Drive
493.7222222,4.0,6.0,No,Regular,Standard Pickup Trucks,Manual 5-Speed,Rear-Wheel Drive
493.7222222,2.5,4.0,No,Regular,Standard Pickup Trucks,Automatic 4-Speed,4-Wheel or All-Wheel Drive
555.4375,4.0,6.0,No,Regular,Standard Pickup Trucks,Automatic 4-Speed,4-Wheel or All-Wheel Drive
423.1904762,2.5,4.0,No,Regular,Standard Pickup Trucks,Manual 4-Speed,4-Wheel or All-Wheel Drive
467.7368421,2.5,4.0,No,Regular,Standard Pickup Trucks,Manual 5-Speed,4-Wheel or All-Wheel Drive
493.7222222,4.0,6.0,No,Regular,Standard Pickup Trucks,Manual 5-Speed,4-Wheel or All-Wheel Drive
